,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,72.54,94,75,17.27,ZA,1638712351
1,dunedin,-45.8742,170.5036,48.7,80,99,9.44,NZ,1638712347
2,bluff,-46.6,168.3333,47.8,68,76,14.07,NZ,1638712344
3,senneterre,48.3835,-77.2328,1.62,89,62,6.17,CA,1638712463
4,la palma,33.8464,-118.0467,59.49,95,90,1.99,US,1638712463
5,hilo,19.7297,-155.09,71.33,90,75,0.0,US,1638712344
6,albany,42.6001,-73.9662,34.52,81,100,3.29,US,1638712341
7,upernavik,72.7868,-56.1549,25.61,65,100,7.72,GL,1638712338
8,pacific grove,36.6177,-121.9166,51.42,93,90,3.0,US,1638712463
9,salalah,17.0151,54.0924,82.49,39,0,13.8,OM,1638712187
10,rikitea,-23.1203,-134.9692,75.09,76,77,7.92,PF,1638712341
11,hargeysa,9.56,44.065,69.21,51,0,15.14,SO,1638712331
12,mataura,-46.1927,168.8643,47.48,99,100,0.51,NZ,1638712339
13,biltine,14.5333,20.9167,93.38,13,90,4.81,TD,1638712364
14,pangnirtung,66.1451,-65.7125,19.4,93,90,16.11,CA,1638712352
15,mabaruma,8.2,-59.7833,82.49,71,56,5.28,GY,1638712464
16,bonham,33.5773,-96.1783,63.91,82,90,8.05,US,1638712464
17,lagoa,39.05,-27.9833,62.96,75,100,13.24,PT,1638712340
18,esperance,-33.8667,121.9,62.44,82,100,10.76,AU,1638712357
19,hithadhoo,-0.6,73.0833,81.75,81,100,16.71,MV,1638712352
20,hermanus,-34.4187,19.2345,67.8,89,85,12.28,ZA,1638712352
21,sioux lookout,50.1001,-91.917,12.58,92,90,6.91,CA,1638712464
22,lira,2.235,32.9097,87.1,27,100,5.55,UG,1638712364
23,ambulu,-8.345,113.6058,77.86,88,100,4.72,ID,1638712464
24,atuona,-9.8,-139.0333,77.79,75,0,16.06,PF,1638712359
25,inhambane,-23.865,35.3833,87.78,70,20,15.99,MZ,1638712464
26,kabansk,52.0486,106.6528,18.09,88,48,5.82,RU,1638712465
27,yellowknife,62.456,-114.3525,-23.28,76,20,10.36,CA,1638712341
28,cidreira,-30.1811,-50.2056,74.39,75,59,11.7,BR,1638712368
29,busselton,-33.65,115.3333,62.1,69,0,17.94,AU,1638712345
30,georgetown,5.4112,100.3354,81.9,74,20,5.99,MY,1638712363
31,mount gambier,-37.8333,140.7667,48.11,87,78,5.75,AU,1638712341
32,hobart,-42.8794,147.3294,58.86,75,90,13.8,AU,1638712343
33,chuy,-33.6971,-53.4616,71.8,68,58,9.04,UY,1638712353
34,orocue,4.7912,-71.3354,86.49,52,97,11.83,CO,1638712372
35,vaini,-21.2,-175.2,77.16,88,40,8.05,TO,1638712338
36,port hardy,50.6996,-127.4199,39.2,93,40,3.44,CA,1638712338
37,khatanga,71.9667,102.5,-19.5,96,100,14.32,RU,1638712340
38,saskylakh,71.9167,114.0833,-22.88,95,100,14.07,RU,1638712364
39,lebu,-37.6167,-73.65,64.15,58,0,15.43,CL,1638712344
40,namatanai,-3.6667,152.4333,77.9,91,100,8.86,PG,1638712369
41,axim,4.8699,-2.2405,85.1,68,93,9.44,GH,1638712331
42,kodiak,57.79,-152.4072,24.31,93,90,4.61,US,1638712177
43,butaritari,3.0707,172.7902,81.99,81,57,14.9,KI,1638712353
44,bambous virieux,-20.3428,57.7575,84.45,65,40,11.5,MU,1638712363
45,torbay,47.6666,-52.7314,32.76,80,40,5.75,CA,1638712344
46,punta arenas,-53.15,-70.9167,50.11,57,20,20.71,CL,1638712339
47,muros,42.7762,-9.0603,57.09,78,67,14.29,ES,1638712466
48,lorengau,-2.0226,147.2712,83.12,83,100,11.9,PG,1638712466
49,ushuaia,-54.8,-68.3,47.86,66,40,20.71,AR,1638712300
50,bud,39.447,-86.1758,38.7,70,100,10.54,US,1638712466
51,bredasdorp,-34.5322,20.0403,67.28,78,74,9.57,ZA,1638712339
52,victoria,22.2855,114.1577,68.25,48,15,3.0,HK,1638712077
53,hambantota,6.1241,81.1185,80.56,79,24,0.81,LK,1638712376
54,belaya kholunitsa,58.84,50.8528,1.2,94,80,6.15,RU,1638712467
55,meru,0.0463,37.6559,65.59,86,97,5.01,KE,1638712467
56,saint-philippe,-21.3585,55.7679,82.22,76,12,11.32,RE,1638712351
57,carnarvon,-24.8667,113.6333,78.87,61,0,16.11,AU,1638712363
58,tuktoyaktuk,69.4541,-133.0374,-14.96,82,100,7.34,CA,1638712352
59,hasaki,35.7333,140.8333,45.0,61,85,10.49,JP,1638712354
60,new norfolk,-42.7826,147.0587,58.5,94,0,2.15,AU,1638712339
61,asau,46.4333,26.4,38.95,72,99,1.23,RO,1638712354
62,danielskuil,-28.1887,23.5395,74.12,31,34,25.52,ZA,1638712467
63,nanortalik,60.1432,-45.2371,29.57,77,100,35.41,GL,1638712360
64,faanui,-16.4833,-151.75,80.53,69,44,13.42,PF,1638712346
65,cape town,-33.9258,18.4232,69.28,79,40,3.0,ZA,1638712234
66,lufilufi,-13.8745,-171.5986,74.98,75,94,4.23,WS,1638712468
67,riyadh,24.6877,46.7219,78.94,25,12,9.84,SA,1638712201
68,saint-paul,-21.0096,55.2707,82.74,77,45,4.25,RE,1638712468
69,qaanaaq,77.484,-69.3632,13.5,66,69,7.94,GL,1638712349
70,bowen,-20.0167,148.2333,77.22,71,0,18.48,AU,1638712468
71,guerrero negro,27.9769,-114.0611,60.35,89,30,11.79,MX,1638712352
72,gbadolite,4.2833,21.0167,93.42,35,83,6.17,CD,1638712468
73,grand gaube,-20.0064,57.6608,84.6,67,22,8.01,MU,1638712468
74,caxito,-8.5785,13.6643,86.65,53,58,5.21,AO,1638712468
75,geraldton,-28.7667,114.6,72.01,68,0,20.71,AU,1638712388
76,tukrah,32.5341,20.5791,65.21,67,52,14.2,LY,1638712468
77,mlimba,-8.8,35.8167,89.53,43,94,10.16,TZ,1638712468
78,marsh harbour,26.5412,-77.0636,77.29,74,87,15.59,BS,1638712360
79,sur,22.5667,59.5289,75.79,64,0,8.14,OM,1638712356
80,jawhar,2.7809,45.5005,85.28,51,70,17.69,SO,1638712469
81,dalvik,65.9702,-18.5286,35.53,73,100,16.15,IS,1638712469
82,jamestown,42.097,-79.2353,33.03,83,90,1.99,US,1638712345
83,esso,55.9333,158.7,1.09,91,85,9.86,RU,1638712469
84,isangel,-19.55,169.2667,76.93,87,14,7.27,VU,1638712359
85,nemuro,43.3236,145.575,34.45,65,1,15.08,JP,1638712395
86,kavieng,-2.5744,150.7967,82.42,79,100,10.07,PG,1638712346
87,abadiania,-16.2042,-48.7069,76.12,60,43,3.74,BR,1638712469
88,porto walter,-8.2686,-72.7439,73.44,99,100,1.97,BR,1638712469
89,luganville,-15.5333,167.1667,77.61,82,4,4.05,VU,1638712342
90,zhaoyuan,37.3592,120.3964,41.65,77,0,8.34,CN,1638712469
91,ilulissat,69.2167,-51.1,33.73,54,100,17.34,GL,1638712383
92,puerto ayora,-0.7393,-90.3518,70.07,84,78,8.77,EC,1638712357
93,dikson,73.5069,80.5464,8.8,96,100,8.08,RU,1638712363
94,sorong,-0.8833,131.25,80.8,81,100,9.28,ID,1638712470
95,vila franca do campo,37.7167,-25.4333,68.2,72,29,3.42,PT,1638712385
96,bulata,9.8599,122.4016,78.71,77,100,15.93,PH,1638712470
97,alpena,45.0617,-83.4327,27.18,57,100,4.32,US,1638712470
98,koungou,-12.7336,45.2042,87.51,66,0,5.75,YT,1638712470
99,arlit,18.7369,7.3853,86.59,9,4,3.78,NE,1638712470
100,tuatapere,-46.1333,167.6833,47.82,87,100,4.23,NZ,1638712391
101,waingapu,-9.6567,120.2641,79.81,83,100,5.14,ID,1638712470
102,katsuura,35.1333,140.3,52.2,71,100,8.84,JP,1638712355
103,cabo san lucas,22.8909,-109.9124,74.52,71,40,8.05,MX,1638712357
104,dingle,10.9995,122.6711,72.88,89,68,7.63,PH,1638712377
105,cockburn town,21.4612,-71.1419,80.2,75,17,20.2,TC,1638712375
106,christchurch,-43.5333,172.6333,51.91,90,90,5.99,NZ,1638712471
107,smolenka,52.1352,113.4974,21.27,49,11,8.95,RU,1638712471
108,kokstad,-30.5472,29.4241,73.99,59,100,3.06,ZA,1638712365
109,chernyshevskiy,63.0128,112.4714,-25.67,100,89,4.5,RU,1638712471
110,ishigaki,24.3448,124.1572,71.74,65,10,20.09,JP,1638712352
111,alacranes,22.7675,-81.5675,73.81,67,0,6.89,CU,1638712471
112,port alfred,-33.5906,26.891,70.9,92,100,26.08,ZA,1638712357
113,srednekolymsk,67.45,153.6833,-47.69,100,66,4.88,RU,1638712373
114,kapaa,22.0752,-159.319,62.92,82,75,8.05,US,1638712346
115,hofn,64.2539,-15.2082,28.42,93,90,5.75,IS,1638712368
116,ocampo,21.65,-101.5,48.83,56,77,0.98,MX,1638712471
117,touros,-5.1989,-35.4608,88.7,60,8,17.16,BR,1638712471
118,auki,-8.7676,160.7034,77.88,87,100,3.38,SB,1638712351
119,cherskiy,68.75,161.3,-44.77,100,87,6.67,RU,1638712342
120,namibe,-15.1961,12.1522,78.01,60,71,12.66,AO,1638712471
121,rio cuarto,-33.1307,-64.3499,62.67,100,90,5.75,AR,1638712472
122,avera,33.194,-82.5271,53.47,81,0,1.41,US,1638712387
123,heze,35.2431,115.4411,45.59,50,0,8.34,CN,1638712290
124,chokurdakh,70.6333,147.9167,-42.48,100,58,4.21,RU,1638712233
125,coihaique,-45.5752,-72.0662,63.21,59,75,3.44,CL,1638712359
